Tweet,Message,Match,Polarity
96, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
97, RT   hindu  Naveen Patnaik said improving the quality of education at all levels of the education system is a top priority of his govern,"improving,top",positive
98, RT    Gov  Matt Bevin appoints his staffers to University of Louisville  UK trustee boards,NONE,neutral
99, RT     8   Civility  millenials  and education  with Dr  John Jackson  former pastor and President of William Jessup University,civility,positive
100, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
101, Candidates who attempted the exam can check their results on,NONE,neutral
102, RT   hindu  Naveen Patnaik said improving the quality of education at all levels of the education system is a top priority of his govern,"improving,top",positive
103, RT    Asking a favor of my followers  Please take 2 seconds to RT this  I want to get the message out to all student athlete,favor,positive
104, RT    If you have a sibling friend or cousin who wants to further there education we at Wilberforce University are welcoming them,NONE,neutral
105, RT   Palmater   reconciliation w Indig ppls includes self education  Check out   on  warriorlifepodcast who gives us update on C,reconciliation,positive
106, RT    All I want for Christmas is      free fibre optic broadband  free university education  free social care for the elderly  a,free,positive
107, 8   Civility  millenials  and education  with Dr  John Jackson  former pastor and President of William Jessup Univ,civility,positive
108, Universities protecting problematic faculty who make the environment toxic to work and learn in under the guise of,"problematic,toxic",negative
109, RT    Asking a favor of my followers  Please take 2 seconds to RT this  I want to get the message out to all student athlete,favor,positive
110, University of Redlands and Keck Graduate Institute Partner on Pathways for Graduate Students,NONE,neutral
111, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
112, RT    A permanent national necessity The Centenary Commission on Adult Education   A Permanent National Necessity      CRADA,NONE,neutral
113, The privilege of a university education is a great one  the more widely it is extended the better for any country,"privilege,great,better",positive
114, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
115, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
116, RT     Something magical   Eastmain leads Cree territory in graduation rates 3 years running,"magical,leads",positive
117, Guess you think the University of California  Berkeley ripped me off i,ripped,negative
118, RT      first gen high school grad   first gen college grad    Title 1 to Tier 1   life changing experiences   amp  4 5 years later,NONE,neutral
119, RT    ASU is the superior Arizona University   1 in innovation and a quality education AND a great community  GCU  Eat shit and r,"superior,innovation,great",positive
120, Trudeau is delusional   There is no such thing as  the Middle class  in  Canada   it s what you EARN which gives yo,delusional,negative
121, training   their education  I ve met teachers when I lived their and they just had undergrad,NONE,neutral
122, RT    We hope Mr President will not reject the bill just as he rejected the bill seeking to upgrade Federal Collage of Education  Ka,"reject,rejected",negative
123, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
124, Devin did you get your education at trump university   Why did you betray America,NONE,neutral
125, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
126, RT   Palmater   reconciliation w Indig ppls includes self education  Check out   on  warriorlifepodcast who gives us update on C,reconciliation,positive
127, I m guessing that AB must be losing their minds over the  80 B in LNG projects on the go in BC  If you re Albertast,losing,negative
128, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
129, RT    This is insane  Emily is an incredibly well respected scientist  amp  leader   Carbon capture  is not geoengineering  it is a crit,"incredibly,well",positive
130, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
131, RT    If you have a sibling friend or cousin who wants to further there education we at Wilberforce University are welcoming them,NONE,neutral
132, 3 go go uk college students,NONE,neutral
133, I can relate  As a young child my family left Scotland for Canada  ostensibly for a  better  life  A,better,positive
134, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
135, RT      first gen high school grad   first gen college grad    Title 1 to Tier 1   life changing experiences   amp  4 5 years later,NONE,neutral
136, RT    Education policy is about more than under 18s and university students   Labour is right to commit to reverse years of Tory,right,positive
137, RT    Ont education minister deletes tweet after social media backlash     He may also want to delete the tweet of him  amp  the P,NONE,neutral
138, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
139, RT    This is insane  Emily is an incredibly well respected scientist  amp  leader   Carbon capture  is not geoengineering  it is a crit,"incredibly,well",positive
140, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
141, Trending  New  300 million UM research and education center to anchor 14 acre Detroit Center for Innovation in the,innovation,positive
142, is right in keeping an eye open on big oil relations with Academia  Given the previous track record of to,right,positive
143, 1 in 5  college  students are parents   Schools could be doing more to help them,NONE,neutral
144, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
145, RT    ASU is the superior Arizona University   1 in innovation and a quality education AND a great community  GCU  Eat shit and r,"superior,innovation,great",positive
146, RT    Managing menstruation with dignity should be easier for women around the      Today Canada   Senegal  Uganda and Nigeria conv,"dignity,easier",positive
147, Don t be shy  Score a job like  Associate Child Care Teacher  Knob Center  at Vanderbilt University Medical Center,like,positive
148, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
149, This makes it very difficult to know what actually happened we have to trust but verify all,NONE,neutral
150, RT    I can t marry a man who is not education person cos I m a graduation of university,NONE,neutral
151, RT   haley  I am extremely excited to announce that I will be continuing my education and track  amp  field career at The University of Cha,excited,positive
152, RT    Celebrating successes,successes,positive
153, RT    Asking a favor of my followers  Please take 2 seconds to RT this  I want to get the message out to all student athlete,favor,positive
154, 87   You know you are making the rich richer from abolishing fees right  They won t pay ba,"rich,richer,right,won",positive
155, RT    The University of Glasgow is cancelling their American Studies events   in next week s shutdown of the United Kingdom s Am,NONE,neutral
156, RT    Excited to share that I will be continuing my education and baseball career at Texas A amp M University Texarkana Thank you to e,"excited,thank",positive
157, Count us in    We re completing the University of Hawaii system online training program to prevent sex di,NONE,neutral
158, RT    Analysis   I have never ever ever seen a university statement like this  My god,like,positive
159, RT    This is insane  Emily is an incredibly well respected scientist  amp  leader   Carbon capture  is not geoengineering  it is a crit,"incredibly,well",positive
160, RT    Are looking for someone to pay to write your  online class university or college  assignments   Political Science   Bi,NONE,neutral
161, RT    ICYMI    children took over  ODU on Nov  20 as they crowded   for the university s annual Education Day game,crowded,negative
162, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
163, RT    What Canada forces on First Nations and calls it   cdnpoli benevolence    Good God  how do people ignore the continuing g,"benevolence,good",positive
164, Ann E This is from 2011 so salaries stated will be higher in 2019  Medical residents in Albe,NONE,neutral
165, I can t marry a man who is not education person cos I m a graduation of university,NONE,neutral
166, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
167, RT    Students accuse Cambridge university of  greenwashing  ties with oil firms,accuse,negative
168, RT    Asking a favor of my followers  Please take 2 seconds to RT this  I want to get the message out to all student athlete,favor,positive
169, This is insane  Emily is an incredibly well respected scientist  amp  leader   Carbon capture  is not geoengineering  i,"incredibly,well",positive
170, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
171, RT    Sad news  FG has budgeted N360m for the specialized education programme of our Chibok girls  N3 3m per each student  D 106girls,sad,negative
172, RT    London South Bank University offers programmes at  Bahrain s ASU   including at its dedicated Engineering School to boost k,"dedicated,boost",positive
173, Seems to the  educated classes  now that democracy is defined as shouting  screaming  rioting,educated,positive
174, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
175, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
176, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
177, RT    Nine OECD countries   including the US  Canada  Australia and New Zealand   use caps   quotas on overseas workers  Yet,NONE,neutral
178, Until Sean Reyes  the Governor  and the Commissioner of Higher Education hold the U of U respon,NONE,neutral
179, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
180, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
181, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
182, RT    Welcome to the  FlipFlopFord government  insisting their terrible ideas aren t horrible  Then demanding high fives for ta,"terrible,horrible",negative
183, RT     HappeningNow    I am currently at the University of Technology  Jamaica making a donation to the University on behalf,NONE,neutral
184, The University of Glasgow is cancelling their American Studies events   in next week s shutdown of the United Kingd,NONE,neutral
185, I won t worry too much   Dr,NONE,neutral
186, RT     There has been a change in definition in terms of the  ready to work  graduate  The  ready to work  graduate  now  is a,"ready,work",positive
187, RT    If you have a sibling friend or cousin who wants to further there education we at Wilberforce University are welcoming them,NONE,neutral
188, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
189, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
190, RT    Asking a favor of my followers  Please take 2 seconds to RT this  I want to get the message out to all student athlete,favor,positive
191, It all starts with putting the people first in all decisions that are made  From that FREE prescription,free,positive
192, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
193, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
194, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
195, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
196, RT   hawkins  This is an absurd attack on a leading climate scientist     by   at,"absurd,attack",negative
197, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
198, I realize   is out there  I applied for it in 2010 and was rejected  ostensibly because I didn t att,rejected,negative
199, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
200, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
201, RT    Idc if your going to a community  state  or university college  I m proud of you for continuing your education  College,proud,positive
202, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
203, RT    After attending university for many months  it s only on this day that the girl with the blonde hair received an education  htt,NONE,neutral
204, RT    It takes some nerve to slash the education budget and then feign outrage about staffing cuts   The UCP can try to deflect a,"feign,outrage",negative
205, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
206, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
207, RT    On education in  Somaliland     Its hard to go to a top tier American university  e g  Harvard  Yale  MIT  without bumping in,"hard,bumping",negative
208, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
209, RT    Excited to share that I will be continuing my education and baseball career at Texas A amp M University Texarkana Thank you to e,"excited,thank",positive
210, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
211, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
212, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
213, RT     GivingTuesdayKePartner we are excited to have   Inc join us for this year s  GivingTuesday campaign    aims to,excited,positive
214, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
215, RT    We re excited to be going to    YouthEdition   an interactive platform for university students to discuss global,excited,positive
216, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
217, That we should write university education in developed countries,NONE,neutral
218, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
219, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
220, RT    Asking a favor of my followers  Please take 2 seconds to RT this  I want to get the message out to all student athlete,favor,positive
221, RT    It is not right that I get paid  on average  15  more than my female colleagues   Or that BME staff are 10  more likely t,right,positive
222, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
223, RT    University of Cincinnati invented cooperative education and we re still the  1 public university for co op  Experience change,cooperative,positive
224, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
225, Yes  buts it s the best debt you ll ever have  You got a university educat,NONE,neutral
226, Sturgeon should have been questioned on NHS failing education stamdards  police scotland  edinburgh si,failing,negative
227, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
228, Sexual exploitation of children  Parents must take a stand  Planning private education,exploitation,negative
229, johnson Education to children here is key to development in Africa  Illiteracy rate was ver,NONE,neutral
230, story is a textbook example of what   wrote about in her   book about the endless cons,cons,negative
231, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
232, RT    Get an international education in Cyprus International University   No SAT   IELTS  or TOEFL required 2019 2020 Spring Seme,NONE,neutral
233, RT    Had a lively discussion with Prof  Spahiu s students at  KolegjiAAB University   in Fush Kosove  Impressed b,"lively,impressed",positive
234, RT    I m now just learning about the anti blackness and colonial violence that is happening at      And I continue t,NONE,neutral
235, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
236, RT   hindu  Naveen Patnaik said improving the quality of education at all levels of the education system is a top priority of his govern,"improving,top",positive
237, Saiid   I have lived  through the 1970s  This is not the 1970s  No reason for t,NONE,neutral
238, Not mention pension  Social security alone pays about as much as UK university pension  I,NONE,neutral
239, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
240, RT    After attending university for many months  it s only on this day that the girl with the blonde hair received an education  htt,NONE,neutral
241, Increasing the financial barrier to education has meant the inability for many students to attend school  5000 stud,inability,negative
242, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
243, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
244, RT    Asking a favor of my followers  Please RT this  I want to get the message out to all student athletes that Judson Univ,favor,positive
245, RT   domain names  53  Financial services passport  enabling firms in the City to service the whole EU market 54  Strong intellectual pro,strong,positive
246, RT     UGA24  welcome to UGA      the No  16 best public university according to      the birthplace of public higher e,"welcome,best",positive
247, RT     AGTG I am truly blessed and honored to have received an official offer from St  Ambrose University to continue to play f,honored,positive
248, As Americans claim  the land of the free   They don t have  Free or affordable healthcare Ever,"free,affordable",positive
249, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
250, RT    Since 1993  Innocence Canada has been dedicated to preventing wrongful conviction of individuals  through legal education,NONE,neutral
251, RT    Congratulations Carson Ashby on your commitment to Christopher Newport University to continue your education and play footba,"congratulations,commitment",positive
252, Hopefully  we can get the university back on track   said Jenn Oxborrow  executive director at,NONE,neutral
253, RT    It is not right that I get paid  on average  15  more than my female colleagues   Or that BME staff are 10  more likely t,right,positive
254, RT    Why not have free university education for all Americans who qualify academically   I know the answer  it s simple   it s sca,"free,qualify",positive
255, Free Education University   How to find scholarships and grants specifically tailored to your personality type  hob,free,positive
256, RT   Palmater   reconciliation w Indig ppls includes self education  Check out   on  warriorlifepodcast who gives us update on C,reconciliation,positive
257, RT   hindu  Naveen Patnaik said improving the quality of education at all levels of the education system is a top priority of his govern,"improving,top",positive
258, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
259, RT          Most Teachers in Nigeria are not trained  heck they didn t even study education i,heck,negative
260, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
261, RT    4 female   students or staff have been murdered from relationship violence in the last 3 years  including my Lauren,NONE,neutral
262, RT    Pretty hyped about my colleagues at Queen s University Belfast and delighted to be working with the Shared Education team,"pretty,delighted",positive
263, RT    London South Bank University offers programmes at  Bahrain s ASU   including at its dedicated Engineering School to boost k,"dedicated,boost",positive
264, RT    What Canada forces on First Nations and calls it   cdnpoli benevolence    Good God  how do people ignore the continuing g,"benevolence,good",positive
265, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
266, RT   portland  50  of teachers leave the profession in the first 5 years  Get an education that supports your resiliency at Concordia Uni,supports,positive
267, Students accuse Cambridge university of  greenwashing  ties with oil firms,accuse,negative
268, RT   hawkins  This is an absurd attack on a leading climate scientist     by   at,"absurd,attack",negative
269, RT    Call for Papers for  LPP2020 is open  Meet our 3 brilliant plenary speakers  amp  visit our website,brilliant,positive
270, ASU is the superior Arizona University   1 in innovation and a quality education AND a great community  GCU  Eat sh,"superior,innovation,great",positive
271, National Acency for Vocatinal Education and training NAVET was interested in simulation pedagogy and satellite educ,NONE,neutral
272, RT   mccloy  Time to properly fund public education in BC  Leaving every child  1800 00 below the national average and the teachers be,properly,positive
273, RT    November 2019   BLOG  How do we secure a vibrant adult education and lifelong learning culture    University of Wolverhamp,"secure,vibrant",positive
274, RT    Students accuse Cambridge university of  greenwashing  ties with oil firms,accuse,negative
275, In your official opinion  an education in Canada is only for the children of parents with  a lot of money,NONE,neutral
276, RT    Congratulations to Logan Phillips  20 on signing with Purdue University Northwest to continue his education and basketball c,congratulations,positive
277, RT    WATCH  College leftists harass conservative students   This is the direct result of far left political indoctrination,"harass,conservative,indoctrination",negative
278, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
279, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
280, RT    Why not have free university education for all Americans who qualify academically   I know the answer  it s simple   it s sca,"free,qualify",positive
281, RT    STUDENTS ACCUSE CAMBRIDGE UNIV  OF  GREENWASHING  TIES WITH OIL FIRMS   Cambridge has come under criticism for its links,"accuse,criticism",negative
282, RT   samanta  Glad to share with one and all that    is the first university in India to be awarded with prestigious I,"glad,awarded,prestigious",positive
283, RT    Job  Coordinator  Sexual Violence Prevention Education McMaster University,NONE,neutral
284, Students accuse Cambridge university of  greenwashing  ties with oil firms   University of Cambridge   The Guardian,accuse,negative
285, RT    I m now just learning about the anti blackness and colonial violence that is happening at      And I continue t,NONE,neutral
286, Absolutely  and you go to university knowing what your loan will be  It isn t suddenly thrown at you a,NONE,neutral
287, RT    Why not have free university education for all Americans who qualify academically   I know the answer  it s simple   it s sca,"free,qualify",positive
288, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
289, RT    Imagine  Imagine being a university  Imagine being a university and sending an email to your international students th,NONE,neutral
290, RT    WATCH  College leftists harass conservative students   This is the direct result of far left political indoctrination,"harass,conservative,indoctrination",negative
291, RT    Students accuse Cambridge university of  greenwashing  ties with oil firms,accuse,negative
292, RT    Asking a favor of my followers  Please RT this  I want to get the message out to all student athletes that Judson Univ,favor,positive
293, RT    Asking a favor of my followers  Please take 2 seconds to RT this  I want to get the message out to all student athlete,favor,positive
294, RT    Throne speech promises major reforms to health care  education and local government   CBC News,"promises,reforms",positive
295, RT     There has been a change in definition in terms of the  ready to work  graduate  The  ready to work  graduate  now  is a,"ready,work",positive
296, RT    4 female   students or staff have been murdered from relationship violence in the last 3 years  including my Lauren,NONE,neutral
297, Pattern  yes  You after him  A pattern  My education didn t come out of Trump Univer,trump,positive
